"bar_id","B","H","start_node","x1","y1","z1","end_node","x2","y2","z2"
"2013","0.4","0.7","2005","38.332","-0.003","6","2006","38.332","6.472","6"
"2014","0.4","0.7","14035","46.332","6.471625","6","2008","46.332","-0.004","6"
"2015","0.4","0.7","2009","54.332","-0.005","6","2010","54.332","6.4709375","6"
"2016","0.4","0.7","2011","62.332","-0.006","6","2012","62.332","6.470375","6"
"2017","0.4","0.7","2013","70.332","-0.007","6","2014","70.332","6.468","6"
"2018","0.4","0.7","2015","80.32177206","9.13127955","6","2016","82.311","11.796","6"
"2019","0.4","0.7","2017","65.953","15.131","6","2018","70.593","21.023","6"
"2020","0.4","0.7","2019","58.882","20.699","6","2020","63.522","26.591","6"
"2021","0.4","0.7","2021","51.811","26.266","6","2022","56.451","32.159","6"
"2350","0.4","0.9","2034","62.33132742","12.97","6","2014","70.332","6.468","6"
"2348","0.4","0.8","2077","30.332","6.473","6","2257","34.332","6.4725","6"
"2349","0.4","0.8","2173","30.332","-0.001","6","2258","34.332","-0.0025","6"
"2022","0.3","0.7","2025","27.207","6.473","6","2026","27.207","9.473","6"
"2023","0.3","0.5","2027","13.543","27.419","6","2028","16.862","24.84","6"
"2025","0.4","0.7","2034","62.33132742","12.97","6","2017","65.953","15.131","6"
"94","0.4","0.5","2036","19.101","33.68","6","128","19.73607712","34.35166593","6"
"201","0.3","0.5","2241","0.144","27.309","6","275","0.77491482","27.34821196","6"
"2034","0.3","0.5","2041","82.311","8","6","2042","87.127","7.994","6"
"2035","0.3","0.6","2041","82.311","8","6","2043","82.311","5.957","6"
"2036","0.2","0.6","2044","80.332","0.742","6","2045","80.332","1.642","6"
"2037","0.2","0.6","2046","80.322","5.957","6","2047","81.552","5.957","6"
"2038","0.4","0.7","2048","80.332","-0.008","6","2049","87.128","-0.01","6"
"2041","0.3","0.6","2252","41.885","28.576","6","8103","44.184","31.49","6"
"2042","0.3","0.5","2050","40.152","44.997","6","2051","43.797","42.126","6"
"2043","0.3","0.4","7453","43.40370692","34.56471308","6","2053","45.38283206","33.00913189","6"
"2044","0.3","0.5","2054","41.94897865","39.78201682","6","2051","43.797","42.126","6"
"2045","0.3","0.5","2054","41.94897865","39.78201682","6","2055","42.923","39.015","6"
"2046","0.2","0.6","2056","42.757","37.618","6","2057","43.50023027","38.56029195","6"
"2047","0.2","0.6","2058","44.642","36.133","6","2059","45.38528282","37.07535857","6"
"2048","0.3","0.6","2060","47.361","35.517","6","2061","49.21","37.86000001","6"
"2049","0.3","0.5","2062","47.627","39.109","6","2061","49.21","37.86000001","6"
"2050","0.4","0.5","2063","24.238","40.549","6","2064","25.939","40.867","6"
"2051","0.3","0.5","2065","7.794","9.235","6","2066","9.143","6.476","6"
"2052","0.3","0.5","2067","4.977","14.993","6","2068","6.409","12.064","6"
"2053","0.3","0.5","2069","3.532","17.948","6","2067","4.977","14.993","6"
"2054","0.3","0.5","2070","2.128","20.819","6","2069","3.532","17.948","6"
"2055","0.3","0.5","2071","0.805","23.524","6","2070","2.128","20.819","6"
"2056","0.3","0.5","2072","0","25.169","6","2071","0.805","23.524","6"
"2057","0.3","0.6","2073","12.31","0","6","2074","16.033","-0.0005","6"
"2058","0.2","0.6","2075","27.207","4.723","6","2025","27.207","6.473","6"
"2059","0.2","0.6","2076","30.332","4.723","6","2077","30.332","6.473","6"
"2060","0.3","0.4","2078","16.033","6.474","6","2079","16.033","10.057","6"
"2061","0.3","0.4","2079","16.033","10.057","6","2080","16.033","13.269","6"
"2062","0.3","0.6","2081","22.091","-0.0005","6","2082","22.091","6.474","6"
"2063","0.4","0.5","2083","17.231","23.421","6","2084","17.67","22.299","6"
"2064","0.4","0.5","2028","16.862","24.84","6","2083","17.231","23.421","6"
"2065","0.4","0.5","2085","19.019","20.075","6","2086","19.806","19.179","6"
"2066","0.4","0.5","2087","18.345","21.035","6","2085","19.019","20.075","6"
"2067","0.4","0.5","2084","17.67","22.299","6","2087","18.345","21.035","6"
"2068","0.4","0.5","2086","19.806","19.179","6","2088","20.655","18.397","6"
"2069","0.4","0.5","2088","20.655","18.397","6","2089","21.357","17.867","6"
"2070","0.4","0.5","2089","21.357","17.867","6","2090","22.095","17.388","6"
"2071","0.4","0.5","2090","22.095","17.388","6","2091","23.331","16.768","6"
"2072","0.4","0.5","2091","23.331","16.768","6","2092","24.231","16.425","6"
"2073","0.4","0.5","2092","24.231","16.425","6","2093","25.257","16.145","6"
"2074","0.4","0.5","2094","21.637","39.625","6","2095","23.06","40.205","6"
"2075","0.4","0.5","2095","23.06","40.205","6","2063","24.238","40.549","6"
"191","0.3","0.6","23257","17.199","36.377","6","128","19.73607712","34.35166593","6"
"2077","0.4","0.5","23549","18.0378644","37.16634976","6","2097","18.578","37.671","6"
"2078","0.4","0.5","2097","18.578","37.671","6","2098","19.759","38.561","6"
"2079","0.4","0.5","2098","19.759","38.561","6","2099","20.705","39.14","6"
"2080","0.4","0.5","2099","20.705","39.14","6","2094","21.637","39.625","6"
"2081","0.3","0.5","2100","43.602","16.446","6","2101","49.077","16.446","6"
"2082","0.4","0.7","2101","49.077","16.446","6","673","50.831","21.519","6"
"2083","0.4","0.7","673","50.831","21.519","6","2021","51.811","26.266","6"
"2084","0.5","0.6","2103","40.35","20.684","6","2104","40.883","21.93","6"
"2085","0.5","0.6","2104","40.883","21.93","6","2033","41.40107446","23.74090426","6"
"2086","0.5","0.6","2105","41.617","24.789","6","2106","41.76","26.51","6"
"2024","0.4","0.7","2010","54.332","6.4709375","6","2031","54.332","9.721","6"
"2009","0.3","0.5","2100","43.602","16.446","6","2001","44.7135","18.565","6"
"2010","0.3","0.5","2001","44.7135","18.565","6","2002","46.11795198","22.62950097","6"
"2088","0.5","0.6","2109","36.741","16.049","6","2110","37.82","17.059","6"
"2089","0.5","0.6","2110","37.82","17.059","6","2111","38.789","18.177","6"
"2090","0.5","0.6","2112","39.635","19.389","6","2103","40.35","20.684","6"
"2091","0.4","0.7","2111","38.789","18.177","6","2100","43.602","16.446","6"
"2092","0.3","0.5","2114","30.332","16.216","6","2115","30.332","12.973","6"
"2093","0.3","0.5","2109","36.741","16.049","6","2116","38.332","12.972","6"
"2094","0.4","0.7","2117","46.33226324","12.97066667","6","2101","49.077","16.446","6"
"2095","0.4","0.5","2118","13.565","25.865","6","2119","13.773","24.264","6"
"2096","0.4","0.5","2027","13.543","27.419","6","2118","13.565","25.865","6"
"2097","0.4","0.7","2120","77.65994102","15.4574236","6","2016","82.311","11.796","6"
"2100","0.3","0.5","2121","39.96736821","37.26970991","6","2054","41.94897865","39.78201682","6"
"2101","0.4","0.7","2064","25.939","40.867","6","2122","29.56150841","45.46659966","6"
"2106","0.3","0.6","2123","76.862","10.312","6","2024","78.332","6.467","6"
"2108","0.3","0.5","2125","77.261","12.885","6","2015","80.32177206","9.13127955","6"
"2109","0.4","0.7","2016","82.311","11.796","6","2042","87.127","7.994","6"
"2351","0.4","0.7","2203","44.56500001","31.973","6","2107","47.844","29.39","6"
"2352","0.3","0.6","2266","74.448","11.379","6","2120","77.65994102","15.4574236","6"
"2353","0.4","0.8","2040","54.33176923","12.97075002","6","2259","56.76696064","17.10607764","6"
"2110","0.3","0.5","2100","43.602","16.446","6","2030","42.33214619","12.9715","6"
