bar_id	start_node	x1	y1	z1	end_node	x2	y2	z2	L	storey
2013	2005	38.332	-0.003	6	2006	38.332	6.472	6	6.475	2F
2014	14035	46.332	6.471625	6	2008	46.332	-0.004	6	6.475625	2F
2015	2009	54.332	-0.005	6	2010	54.332	6.4709375	6	6.4759375	2F
2016	2011	62.332	-0.006	6	2012	62.332	6.470375	6	6.476375	2F
2017	2013	70.332	-0.007	6	2014	70.332	6.468	6	6.475	2F
2018	2015	80.32177206	9.13127955	6	2016	82.311	11.796	6	3.32532146926051	2F
2019	2017	65.953	15.131	6	2018	70.593	21.023	6	7.49968426002055	2F
2020	2019	58.882	20.699	6	2020	63.522	26.591	6	7.49968426002055	2F
2021	2021	51.811	26.266	6	2022	56.451	32.159	6	7.50046991861176	2F
2350	2034	62.33132742	12.97	6	2014	70.332	6.468	6	10.3095473097689	2F
2348	2077	30.332	6.473	6	2257	34.332	6.4725	6	4.00000003125	2F
2349	2173	30.332	-0.001	6	2258	34.332	-0.0025	6	4.00000028124999	2F
2022	2025	27.207	6.473	6	2026	27.207	9.473	6	3	2F
2023	2027	13.543	27.419	6	2028	16.862	24.84	6	4.20321329461164	2F
2025	2034	62.33132742	12.97	6	2017	65.953	15.131	6	4.21739650456581	2F
94	2036	19.101	33.68	6	128	19.73607712	34.35166593	6	0.924369011742746	2F
201	2241	0.144	27.309	6	275	0.77491482	27.34821196	6	0.63213217597483	2F
2034	2041	82.311	8	6	2042	87.127	7.994	6	4.81600373754008	2F
2035	2041	82.311	8	6	2043	82.311	5.957	6	2.043	2F
2036	2044	80.332	0.742	6	2045	80.332	1.642	6	0.9	2F
2037	2046	80.322	5.957	6	2047	81.552	5.957	6	1.23	2F
2038	2048	80.332	-0.008	6	2049	87.128	-0.01	6	6.79600029429074	2F
2041	2252	41.885	28.576	6	8103	44.184	31.49	6	3.71171079153535	2F
2042	2050	40.152	44.997	6	2051	43.797	42.126	6	4.63989935235669	2F
2043	7453	43.40370692	34.56471308	6	2053	45.38283206	33.00913189	6	2.51729401510071	2F
2044	2054	41.94897865	39.78201682	6	2051	43.797	42.126	6	2.9848685160621	2F
2045	2054	41.94897865	39.78201682	6	2055	42.923	39.015	6	1.23977110484909	2F
2046	2056	42.757	37.618	6	2057	43.50023027	38.56029195	6	1.20012722378882	2F
2047	2058	44.642	36.133	6	2059	45.38528282	37.07535857	6	1.20021207499324	2F
2048	2060	47.361	35.517	6	2061	49.21	37.86000001	6	2.98470267310832	2F
2049	2062	47.627	39.109	6	2061	49.21	37.86000001	6	2.01640521101786	2F
2050	2063	24.238	40.549	6	2064	25.939	40.867	6	1.73046958944675	2F
2051	2065	7.794	9.235	6	2066	9.143	6.476	6	3.0711369230303	2F
2052	2067	4.977	14.993	6	2068	6.409	12.064	6	3.26031670240791	2F
2053	2069	3.532	17.948	6	2067	4.977	14.993	6	3.28938444089468	2F
2054	2070	2.128	20.819	6	2069	3.532	17.948	6	3.19591254573713	2F
2055	2071	0.805	23.524	6	2070	2.128	20.819	6	3.01120474229169	2F
2056	2072	0	25.169	6	2071	0.805	23.524	6	1.83140656327316	2F
2057	2073	12.31	0	6	2074	16.033	-0.0005	6	3.72300003357507	2F
2058	2075	27.207	4.723	6	2025	27.207	6.473	6	1.75	2F
2059	2076	30.332	4.723	6	2077	30.332	6.473	6	1.75	2F
2060	2078	16.033	6.474	6	2079	16.033	10.057	6	3.583	2F
2061	2079	16.033	10.057	6	2080	16.033	13.269	6	3.212	2F
2062	2081	22.091	-0.0005	6	2082	22.091	6.474	6	6.4745	2F
2063	2083	17.231	23.421	6	2084	17.67	22.299	6	1.20482571353702	2F
2064	2028	16.862	24.84	6	2083	17.231	23.421	6	1.46619302958376	2F
2065	2085	19.019	20.075	6	2086	19.806	19.179	6	1.19255398200668	2F
2066	2087	18.345	21.035	6	2085	19.019	20.075	6	1.17297740813709	2F
2067	2084	17.67	22.299	6	2087	18.345	21.035	6	1.43294138051771	2F
2068	2086	19.806	19.179	6	2088	20.655	18.397	6	1.15426383465826	2F
2069	2088	20.655	18.397	6	2089	21.357	17.867	6	0.879604456559881	2F
2070	2089	21.357	17.867	6	2090	22.095	17.388	6	0.879821004523078	2F
2071	2090	22.095	17.388	6	2091	23.331	16.768	6	1.38278559437102	2F
2072	2091	23.331	16.768	6	2092	24.231	16.425	6	0.963145368051987	2F
2073	2092	24.231	16.425	6	2093	25.257	16.145	6	1.06352056867745	2F
2074	2094	21.637	39.625	6	2095	23.06	40.205	6	1.53666164135115	2F
2075	2095	23.06	40.205	6	2063	24.238	40.549	6	1.22720006518905	2F
191	23257	17.199	36.377	6	128	19.73607712	34.35166593	6	3.24634231219233	2F
2077	23549	18.0378644	37.16634976	6	2097	18.578	37.671	6	0.739201143884	2F
2078	2097	18.578	37.671	6	2098	19.759	38.561	6	1.47880390856936	2F
2079	2098	19.759	38.561	6	2099	20.705	39.14	6	1.10912442944874	2F
2080	2099	20.705	39.14	6	2094	21.637	39.625	6	1.05064218457094	2F
2081	2100	43.602	16.446	6	2101	49.077	16.446	6	5.475	2F
2082	2101	49.077	16.446	6	673	50.831	21.519	6	5.36766662526651	2F
2083	673	50.831	21.519	6	2021	51.811	26.266	6	4.84710315549401	2F
2084	2103	40.35	20.684	6	2104	40.883	21.93	6	1.3552140052405	2F
2085	2104	40.883	21.93	6	2033	41.40107446	23.74090426	6	1.88355392409945	2F
2086	2105	41.617	24.789	6	2106	41.76	26.51	6	1.72693080347766	2F
2024	2010	54.332	6.4709375	6	2031	54.332	9.721	6	3.2500625	2F
2009	2100	43.602	16.446	6	2001	44.7135	18.565	6	2.39282119056147	2F
2010	2001	44.7135	18.565	6	2002	46.11795198	22.62950097	6	4.30030853535614	2F
2088	2109	36.741	16.049	6	2110	37.82	17.059	6	1.47795162302425	2F
2089	2110	37.82	17.059	6	2111	38.789	18.177	6	1.47948808714366	2F
2090	2112	39.635	19.389	6	2103	40.35	20.684	6	1.47927347032251	2F
2091	2111	38.789	18.177	6	2100	43.602	16.446	6	5.11481475715397	2F
2092	2114	30.332	16.216	6	2115	30.332	12.973	6	3.243	2F
2093	2109	36.741	16.049	6	2116	38.332	12.972	6	3.46398758658284	2F
2094	2117	46.33226324	12.97066667	6	2101	49.077	16.446	6	4.42848976924461	2F
2095	2118	13.565	25.865	6	2119	13.773	24.264	6	1.61445501640646	2F
2096	2027	13.543	27.419	6	2118	13.565	25.865	6	1.55415571935376	2F
2097	2120	77.65994102	15.4574236	6	2016	82.311	11.796	6	5.91932195560231	2F
2100	2121	39.96736821	37.26970991	6	2054	41.94897865	39.78201682	6	3.19976029507692	2F
2101	2064	25.939	40.867	6	2122	29.56150841	45.46659966	6	5.85481718013405	2F
2106	2123	76.862	10.312	6	2024	78.332	6.467	6	4.1164213827061	2F
2108	2125	77.261	12.885	6	2015	80.32177206	9.13127955	6	4.84342263487555	2F
2109	2016	82.311	11.796	6	2042	87.127	7.994	6	6.13588298454265	2F
2351	2203	44.56500001	31.973	6	2107	47.844	29.39	6	4.17417416196545	2F
2352	2266	74.448	11.379	6	2120	77.65994102	15.4574236	6	5.19134897468814	2F
2353	2040	54.33176923	12.97075002	6	2259	56.76696064	17.10607764	6	4.79907196529419	2F
2110	2100	43.602	16.446	6	2030	42.33214619	12.9715	6	3.69928086913815	2F
2111	2066	9.143	6.476	6	2127	11.981	8.073	6	3.25647861961352	2F
2112	2127	11.981	8.073	6	2128	14.596	9.353	6	2.91146440816301	2F
